LEA,GEOID,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
Jackson County Schools,3702340,"143,697","842,761","110,331","158,553","2,095,935",0,"918,947","146,990",17,"1,347,607",36,"307,290","997,442","575,673",0,0,0,"-25,545",0,0,171,"11,951,016",10,"1,074,840","1,072,515",0,211,"1,521,521","59,189","63,192","23,361,953",,,,,,,,,,,,,,,,,,,,,,,,,,,Hoke County,,
Johnston County Schools,3702370,"1,462,429","6,464,167","1,123,745","2,579,932","21,949,594","14,614,677","9,752,087","2,601,014",174,"13,388,430",371,"3,128,444","10,151,160","1,004,474",0,0,0,"-192,709",0,0,"1,723","119,935,337",46,"5,084,702","10,840,120",0,"1,699","11,660,237","514,002","651,202","236,713,045",,,,,,,,,,,,,,,,,,,,,,,,,,,Hyde County,,
Jones County Schools,3702400,"40,571","332,314","31,148","54,173","598,093","224,427","281,310","51,096",5,"404,695",11,"91,801","281,614","523,248",0,0,0,"-14,440",0,0,49,"3,569,126",5,"480,615","411,345","1,820,000",92,"632,776","22,822","13,746","9,850,480",,,,,,,,,,,,,,,,,,,,,,,,,,,Iredell-Statesville,,
Kannapolis City Schools,3702430,"218,003","1,151,154","167,446","574,230","3,143,032","373,449","1,481,567","374,473",26,"1,862,640",55,"449,667","1,513,227","483,536",0,0,0,"-22,091",0,0,260,"16,984,188",8,"919,256","915,127",0,280,"1,990,800","80,164","88,392","32,748,260",,,,,,,,,,,,,,,,,,,,,,,,,,,Mooresville City,,
Lee County Schools,3702560,"393,797","2,133,104","302,314","1,244,965","5,274,446","3,534,306","2,700,578","634,155",47,"3,639,586",100,"825,318","2,733,463","710,313",0,0,0,"-80,238",0,0,468,"31,379,294",16,"1,736,528","2,143,077",0,477,"3,312,765","140,415","183,085","62,941,271",,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson County,,
Lenoir County Schools,3702610,"331,242","2,445,801","254,656","305,224","4,922,807","4,341,145","2,344,252","762,945",40,"3,073,320",84,"717,282","2,299,250","827,028",0,0,0,"-48,887",0,0,395,"26,874,040",17,"1,904,051","2,497,473",0,404,"2,914,052","118,257","170,294","57,054,231",,,,,,,,,,,,,,,,,,,,,,,,,,,Johnston County,,
Lexington City Schools,3702640,"122,192","777,414","93,928","366,393","1,759,680","787,904","843,931","1,019,127",15,"1,042,635",31,"265,127","848,173","454,653",0,0,0,"-34,219",0,0,146,"9,891,998",6,"655,410","493,219",0,177,"1,301,481","48,803","56,510","20,794,360",,,,,,,,,,,,,,,,,,,,,,,,,,,Jones County,,
Lincoln County Schools,3702680,"451,196","2,056,396","346,581","259,667","6,616,726",0,"3,038,150","445,168",54,"4,143,474",115,"962,579","3,131,885","779,925",0,0,0,"-98,436",0,0,533,"37,777,039",23,"2,499,180","2,528,959",0,563,"3,923,547","166,803","230,813","69,259,652",,,,,,,,,,,,,,,,,,,,,,,,,,,Lee County,,
Macon County Schools,3702760,"178,032","1,144,153","136,752","278,377","2,603,530",0,"1,256,519","183,387",21,"1,545,558",45,"367,347","1,235,774","545,484",0,0,0,"-46,756",0,0,214,"15,509,730",12,"1,296,792","1,534,883",0,244,"1,693,604","69,135","69,874","29,602,175",,,,,,,,,,,,,,,,,,,,,,,,,,,Lenoir County,,
Madison County Schools,3702820,"87,337","556,907","67,001","54,677","1,306,406","97,357","618,882","96,593",11,"837,991",23,"199,014","606,234","605,118",0,0,0,"-49,264",0,0,105,"7,706,899",6,"670,542","1,307,267","1,560,000",151,"1,119,665","40,887","33,601","17,523,114",,,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln County,,
Martin County Schools,3702880,"111,080","772,987","85,221","80,793","1,654,472","1,679,155","787,669","258,982",13,"971,217",29,"248,396","771,041","578,706",0,0,0,"-37,336",0,0,135,"9,498,780",9,"926,739","831,027","1,498,000",163,"1,182,565","44,507","59,565","22,003,566",,,,,,,,,,,,,,,,,,,,,,,,,,,Macon County,,
McDowell County Schools,3702940,"232,793","1,245,460","178,861","315,331","3,443,529","2,103,961","1,556,583","419,270",28,"2,053,380",59,"491,813","1,615,884","796,848",0,0,0,"-41,352",0,0,277,"19,675,848",14,"1,494,906","1,393,479",0,303,"2,237,958","87,167","108,820","39,410,539",,,,,,,,,,,,,,,,,,,,,,,,,,,Madison County,,
Mitchell County Schools,3703000,"71,069","448,904","54,590","116,709","1,066,241","159,230","468,850","72,795",9,"746,136",19,"169,802","493,311","517,932",0,0,0,"-48,424",0,0,84,"6,171,359",7,"800,933","848,853","1,600,000",135,"987,390","36,083","30,546","14,812,309",,,,,,,,,,,,,,,,,,,,,,,,,,,Martin County,,
Montgomery County Schools,3703060,"146,215","992,148","112,279","327,026","2,058,321","973,013","1,031,471","1,128,250",18,"1,328,292",37,"309,131","1,014,922","585,318",0,0,0,"-67,505",0,0,175,"12,252,575",12,"1,279,044","1,388,569",0,206,"1,458,892","57,531","56,128","26,431,620",,,,,,,,,,,,,,,,,,,,,,,,,,,McDowell County,,
Moore County Schools,3703090,"509,114","2,284,715","391,163","276,456","7,193,355",0,"3,450,739","514,463",61,"4,760,501",129,"1,105,118","3,533,914","835,845",0,0,0,"-307,696",0,0,597,"42,174,730",24,"2,609,520","3,792,184",0,641,"4,388,927","190,518","237,304","77,940,871",,,,,,,,,,,,,,,,,,,,,,,,,,,Mecklenburg County,,
Mooresville City Schools,3703120,"240,587","938,357","184,991","188,409","3,535,186",0,"1,537,829","214,185",29,"2,189,819",61,"530,050","1,669,987","469,202",0,0,0,"-60,375",0,0,283,"19,634,944",9,"1,009,971","1,122,019",0,328,"2,347,824","94,846","108,438","35,956,270",,,,,,,,,,,,,,,,,,,,,,,,,,,Mitchell County,,
Mount Airy City Schools,3703210,"65,673","389,243","50,504","148,231","934,556","624,284","393,834","122,491",8,"559,536",17,"141,296","455,855","435,131",0,0,0,"-25,280",0,0,81,"5,576,138",4,"409,004","80,245",0,126,"910,854","32,971","38,373","11,342,938",,,,,,,,,,,,,,,,,,,,,,,,,,,Montgomery County,,
Nash-Rocky Mount Schools,3703270,"579,463","3,368,386","444,935","529,941","8,710,341","6,146,067","3,994,605","1,225,612",69,"5,310,378",147,"1,228,095","4,022,231","1,027,958",0,0,0,"-68,143",0,0,688,"46,919,018",27,"2,882,034","4,317,171",0,685,"4,745,680","204,185","262,695","95,850,652",,,,,,,,,,,,,,,,,,,,,,,,,,,Moore County,,
New Hanover County Schools,3703330,"1,064,875","5,440,855","818,661","1,025,136","14,327,561",0,"7,051,509","1,065,324",127,"10,216,515",270,"2,283,192","7,391,616","1,105,020",0,0,0,"-529,706",0,0,"1,257","91,126,766",42,"4,710,972","7,082,750",0,"1,269","9,092,385","382,673","537,227","164,193,331",,,,,,,,,,,,,,,,,,,,,,,,,,,Nash-Rocky Mount,,
Newton-Conover Schools,3703360,"115,117","609,492","88,437","363,657","1,699,140",0,"750,161","139,990",14,"1,021,580",30,"248,742","799,064","447,778",0,0,0,"-41,262",0,0,139,"9,370,888",6,"644,142","361,940",0,181,"1,355,147","49,920","55,555","18,079,488",,,,,,,,,,,,,,,,,,,,,,,,,,,New Hanover County,,
Northampton County Schools,3703420,"51,483","577,746","39,548","49,341","816,214","627,604","375,080","793,750",6,"462,138",14,"115,940","357,359","590,133",0,0,0,"-33,529",0,0,62,"3,835,586",7,"732,886","846,532","1,820,000",107,"737,658","27,287","45,628","12,868,385",,,,,,,,,,,,,,,,,,,,,,,,,,,Northampton County,,
Onslow County Schools,3703450,"1,089,817","5,456,478","836,691","307,532","16,015,657","6,609,036","8,476,814","1,598,686",130,"9,446,840",277,"2,333,840","7,564,746","1,095,620",0,0,0,"-390,602",0,0,"1,316","85,832,849",39,"4,561,206","7,358,852",0,"1,140","7,991,400","342,957","457,808","166,986,227",,,,,,,,,,,,,,,,,,,,,,,,,,,Onslow County,,
Orange County Schools,3703480,"291,750","1,259,602","224,225","644,912","4,281,787",0,"1,894,155","267,381",35,"2,769,410",74,"632,458","2,025,127","669,295",0,0,0,"-203,164",0,0,345,"25,376,424",12,"1,298,220","3,007,361",0,385,"2,752,750","112,336","158,839","47,462,868",,,,,,,,,,,,,,,,,,,,,,,,,,,Orange County,,
Pamlico County Schools,3703510,"49,125","332,314","37,718","48,451","723,396","93,711","318,818","57,396",6,"461,274",13,"112,486","340,989","655,163",0,0,0,"-32,433",0,0,58,"4,124,302",4,"427,508","619,900","1,820,000",109,"754,607","28,167","27,491","11,000,383",,,,,,,,,,,,,,,,,,,,,,,,,,,Chapel Hill-Carrboro,,
Pasquotank County Schools,3703540,"206,811","1,418,026","158,748","149,856","3,038,612","2,183,273","1,500,321","1,494,000",25,"1,938,400",53,"456,118","1,435,540","729,707",0,0,0,"-103,631",0,0,250,"17,829,880",12,"1,292,064","1,523,800",0,261,"1,889,901","74,616","101,947","37,317,989",,,,,,,,,,,,,,,,,,,,,,,,,,,Pamlico County,,
Pender County Schools,3703570,"388,601","1,984,524","298,597","317,577","5,405,253","3,477,559","2,719,332","620,156",46,"3,293,002",99,"825,262","2,697,395","596,940",0,0,0,"-226,786",0,0,459,"31,480,350",18,"1,952,280","2,873,781",0,486,"3,391,794","143,156","156,548","62,395,319",,,,,,,,,,,,,,,,,,,,,,,,,,,Pasquotank County,,
Perquimans County Schools,3703600,"63,155","399,171","48,529",0,"947,899","181,533","468,850","83,294",8,"669,248",17,"142,000","438,375","517,763",0,0,0,"-6,164",0,0,77,"5,319,756",4,"450,928","619,034","1,548,700",117,"809,055","30,501","24,437","12,756,064",,,,,,,,,,,,,,,,,,,,,,,,,,,Pender County,,
Person County Schools,3703630,"170,398","1,068,409","130,684","104,469","2,509,553","1,136,388","1,275,273","178,487",21,"1,554,672",43,"371,431","1,182,781","617,164",0,0,0,"-151,956",0,0,205,"14,154,855",11,"1,185,162","1,427,753",0,228,"1,621,308","64,297","90,874","28,692,002",,,,,,,,,,,,,,,,,,,,,,,,,,,Perquimans County,,
Pitt County Schools,3700012,"938,565","5,616,110","720,808","665,288","12,848,852","7,962,642","6,320,103","1,625,984",112,"8,851,920",238,"1,997,104","6,514,866","1,086,749",0,0,0,"-168,270",0,0,"1,113","77,569,086",38,"4,211,730","6,984,688",0,"1,065","7,321,875","320,324","413,325","151,801,749",,,,,,,,,,,,,,,,,,,,,,,,,,,Person County,,
Polk County Schools,3703720,"82,860","437,842","63,581","77,177","1,225,771",0,"543,866","72,095",10,"790,030",22,"186,369","575,159","501,382",0,0,0,"-34,030",0,0,100,"7,326,326",6,"639,276","624,770","1,560,000",142,"1,035,606","38,011","32,073","15,778,164",,,,,,,,,,,,,,,,,,,,,,,,,,,Pitt County,,
Randolph County Schools,3703780,"611,840","3,248,419","469,833","655,828","8,881,102","7,062,083","4,088,375","1,040,826",73,"5,636,549",155,"1,312,116","4,246,968","955,422",0,0,0,"-230,797",0,0,724,"50,010,460",31,"3,445,278","4,840,102",0,737,"5,254,073","220,085","285,223","102,033,786",,,,,,,,,,,,,,,,,,,,,,,,,,,Polk County,,
Richmond County Schools,3703870,"275,962","1,695,822","212,062","245,232","4,071,207","4,894,936","1,781,631","622,256",33,"2,454,309",70,"603,366","1,915,533","765,104",0,0,0,"-89,040",0,0,327,"21,785,597",15,"1,574,430","1,974,485",0,356,"2,530,804","103,473","114,929","47,532,098",,,,,,,,,,,,,,,,,,,,,,,,,,,Randolph County,,
Roanoke Rapids City Schools,3703900,"110,600","632,750","85,084","141,880","1,603,422","1,524,396","712,653","197,386",14,"1,079,050",29,"243,538","767,711","464,968",0,0,0,"-28,124",0,0,133,"9,417,715",5,"531,630","283,511",0,178,"1,289,432","49,074","47,155","19,153,832",,,,,,,,,,,,,,,,,,,,,,,,,,,Asheboro City,,
Robeson County Schools,3703930,"837,838","5,775,642","643,537","1,305,579","12,360,388","19,790,747","5,926,268","6,786,015",100,"7,687,500",213,"1,802,067","5,815,685","1,223,201",0,0,0,"-285,100",0,0,"1,003","67,818,887",36,"3,973,248","6,759,705",0,923,"6,722,209","276,650","354,906","155,574,971",,,,,,,,,,,,,,,,,,,,,,,,,,,Richmond County,,
Rockingham County Schools,3703990,"446,799","2,711,477","343,135","398,396","6,718,245","5,492,869","3,094,412","864,438",53,"4,039,183",113,"910,759","3,101,366","920,425",0,0,0,"-75,909",0,0,533,"37,281,079",22,"2,454,584","3,124,648",0,530,"3,769,890","156,722","205,422","75,957,939",,,,,,,,,,,,,,,,,,,,,,,,,,,Robeson County,,
Rowan-Salisbury Schools,3704050,"735,551","4,219,588","565,226","1,108,666","10,778,658","5,331,428","4,894,798","1,115,020",88,"6,810,496",187,"1,581,620","5,105,684","1,069,112",0,0,0,"-185,894",0,0,869,"60,894,095",35,"3,880,380","4,798,798",0,879,"6,217,167","263,320","329,515","119,513,228",,,,,,,,,,,,,,,,,,,,,,,,,,,Rockingham County,,
Rutherford County Schools,3704080,"301,743","2,026,534","231,800","131,876","4,417,532","2,637,497","2,062,942","612,456",36,"2,879,676",77,"653,256","2,094,490","771,660",0,0,0,"-171,231",0,0,360,"25,700,139",18,"1,917,468","2,707,315",0,382,"2,820,306","111,321","151,393","52,058,173",,,,,,,,,,,,,,,,,,,,,,,,,,,Rowan-Salisbury,,
Sampson County Schools,3704140,"314,534","2,170,799","241,488","1,130,711","3,772,056","5,668,592","2,212,974","655,853",38,"3,039,012",80,"660,005","2,183,275","662,509",0,0,0,"-84,021",0,0,376,"26,263,269",18,"2,026,170","2,779,296",0,384,"2,674,176","111,998","134,402","56,617,098",,,,,,,,,,,,,,,,,,,,,,,,,,,Rutherford County,,
Scotland County Schools,3704200,"219,242","1,555,878","168,416","51,679","3,246,872","4,349,057","1,500,321","499,764",26,"1,986,166",56,"472,247","1,521,828","701,283",0,0,0,"-27,183",0,0,262,"18,831,328",10,"1,053,580","1,810,481",0,277,"1,988,029","79,420","93,929","40,102,338",,,,,,,,,,,,,,,,,,,,,,,,,,,Sampson County,,
Stanly County Schools,3704320,"328,164","1,779,439","252,023","189,376","4,842,752","3,128,380","2,287,990","572,559",39,"2,981,901",83,"697,781","2,277,886","789,606",0,0,0,"-103,532",0,0,393,"27,860,839",21,"2,264,661","1,892,262",0,401,"2,836,674","117,276","159,412","55,155,449",,,,,,,,,,,,,,,,,,,,,,,,,,,Clinton City,,
Stokes County Schools,3704380,"224,359","1,192,074","172,388","67,188","3,371,015","2,104,089","1,500,321","313,578",27,"2,072,709",57,"483,336","1,557,342","684,247",0,0,0,"-114,575",0,0,264,"18,561,371",19,"1,977,995","2,088,586",0,308,"2,244,088","88,926","96,602","38,685,638",,,,,,,,,,,,,,,,,,,,,,,,,,,Scotland County,,
Surry County Schools,3704410,"292,510","1,676,180","224,802","673,937","4,311,952","2,780,592","1,800,385","550,161",35,"2,766,470",74,"620,143","2,030,398","681,391",0,0,0,"-52,836",0,0,343,"24,413,965",20,"2,170,380","2,680,836",0,385,"2,765,840","112,235","123,138","50,622,479",,,,,,,,,,,,,,,,,,,,,,,,,,,Stanly County,,
Swain County Schools,3704440,"77,424","383,192","59,505","48,063","1,128,893","151,803","581,374","140,690",9,"704,223",20,"158,879","537,426","561,562",0,0,0,"-23,137",0,0,94,"6,335,264",5,"538,185","702,052","1,600,000",136,"907,664","36,151","52,501","14,681,713",,,,,,,,,,,,,,,,,,,,,,,,,,,Stokes County,,
Thomasville City Schools,3704500,"89,136","650,216","68,381","302,695","1,263,478","574,755","675,145","634,500",11,"855,294",23,"190,342","618,719","429,266",0,0,0,"-48,924",0,0,111,"7,273,272",4,"455,828","167,009",0,138,"900,450","36,827","31,119","15,167,508",,,,,,,,,,,,,,,,,,,,,,,,,,,Surry County,,
Transylvania County Schools,3704530,"131,705","744,792","101,275","111,903","1,961,349",0,"862,685","127,391",16,"1,203,168",33,"267,352","914,206","612,364",0,0,0,"-63,583",0,0,155,"11,287,039",9,"952,902","947,321","1,548,000",205,"1,476,000","57,261","63,001","23,306,132",,,,,,,,,,,,,,,,,,,,,,,,,,,Elkin City,,
Tyrrell County Schools,3704590,"24,822","332,314","19,093","68,992","364,889","386,523","168,786","65,095",3,"238,365",7,"52,465","172,298","471,642",0,0,0,"-6,773",0,0,31,"2,127,943",3,"289,788","171,342","1,820,000",79,"545,416","18,728","11,455","7,343,184",,,,,,,,,,,,,,,,,,,,,,,,,,,Mount Airy City,,
Union County Public Schools,3704620,"1,655,250","6,210,360","1,272,550","1,906,569","18,308,945",0,"9,789,595","1,432,098",197,"15,277,744",420,"3,635,499","11,489,592","1,050,772",0,0,0,"-406,081",0,0,"1,918","135,192,483",52,"5,921,136","15,426,801",0,"2,046","14,430,438","619,925","820,541","244,034,216",,,,,,,,,,,,,,,,,,,,,,,,,,,Swain County,,
Vance County Schools,3704650,"202,854","1,676,046","155,630","333,633","3,068,198","3,803,764","1,687,861","2,023,750",24,"1,826,376",52,"442,127","1,408,072","800,536",0,0,0,"-19,070",0,0,249,"16,951,855",16,"1,715,904","1,249,055",0,239,"1,733,228","67,748","125,811","39,253,379",,,,,,,,,,,,,,,,,,,,,,,,,,,Transylvania County,,
Wake County Schools,3704720,"6,447,006","24,669,299","4,951,957","11,393,327","84,345,196",0,"43,603,083","5,066,938",766,"61,484,522","1,637","13,830,271","44,750,615","3,066,846",0,0,0,"-2,037,064",0,0,"7,609","548,461,419",192,"21,565,440","60,537,914",0,"7,235","51,202,095","2,205,816","3,126,761","988,671,442",,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrrell County,,
Warren County Schools,3704740,"69,030","581,889","53,056","54,954","1,035,495","224,113","468,850","771,000",8,"619,136",18,"152,242","479,161","553,762",0,0,0,"-188,449",0,0,82,"6,277,463",6,"665,208","954,943","1,600,000",127,"900,303","33,613","34,173","15,339,942",,,,,,,,,,,,,,,,,,,,,,,,,,,Union County,,
Washington County Schools,3704800,"46,726","441,708","35,879","75,223","705,413","561,891","337,572","530,250",6,"434,016",12,"103,833","324,342","622,163",0,0,0,"-20,930",0,0,57,"3,847,594",3,"324,267","528,932","1,820,000",103,"773,118","26,103","20,046","11,538,148",,,,,,,,,,,,,,,,,,,,,,,,,,,Vance County,,
Watauga County Schools,3704830,"190,263","843,372","146,177","132,577","2,756,679",0,"1,256,519","167,288",23,"1,789,906",48,"397,873","1,320,675","574,741",0,0,0,"-88,113",0,0,224,"16,903,251",10,"1,047,050","1,419,185",0,267,"1,761,666","76,442","80,183","30,775,735",,,,,,,,,,,,,,,,,,,,,,,,,,,Wake County,,
Wayne County Public Schools,3704880,"716,805","4,658,764","550,343","1,752,619","10,460,530","10,450,276","5,119,846","1,445,397",85,"6,436,370",182,"1,570,004","4,975,558","1,062,165",0,0,0,"-396,843",0,0,860,"60,662,753",30,"3,360,120","5,055,284",0,806,"5,753,228","241,162","329,515","124,203,895",,,,,,,,,,,,,,,,,,,,,,,,,,,Warren County,,
Weldon City Schools,3704890,"29,459","370,152","22,650",0,"437,982","406,028","168,786","264,500",4,"309,568",8,"67,663","204,483","407,808",0,0,0,"-9,302",0,0,37,"1,987,229",4,"412,976","242,056",0,87,"588,729","21,299","19,664","5,951,730",,,,,,,,,,,,,,,,,,,,,,,,,,,Washington County,,
Whiteville City Schools,3704920,"88,776","648,270","68,157","92,840","1,264,866","1,785,817","581,374","214,885",11,"824,417",23,"192,529","616,222","449,986",0,0,0,"-29,089",0,0,110,"7,937,443",5,"530,315","389,513",0,149,"1,009,177","40,210","36,464","16,742,172",,,,,,,,,,,,,,,,,,,,,,,,,,,Watauga County,,
Wilkes County Schools,3704950,"352,467","2,205,623","270,777","361,480","5,222,724","3,322,105","2,381,760","549,461",42,"3,271,800",89,"750,977","2,446,577","804,774",0,0,0,"-96,965",0,0,418,"28,919,855",21,"2,273,145","2,893,871",0,445,"3,226,695","130,706","147,193","59,435,025",,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne County,,
Wilson County Schools,3705020,"426,853","2,987,991","328,085","544,234","4,622,675","4,563,564","2,813,102","829,441",51,"3,923,532",108,"916,061","2,962,917","825,760",0,0,0,"-124,970",0,0,503,"34,213,224",26,"2,798,094","2,352,008",0,532,"3,869,236","157,195","231,004","69,240,005",,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkes County,,
Yadkin County Schools,3705040,"201,295","1,164,393","154,580","328,576","2,945,795","2,082,519","1,331,535","340,876",24,"1,887,624",51,"433,077","1,397,252","612,588",0,0,0,"-62,438",0,0,239,"17,261,909",13,"1,396,382","1,475,102",0,276,"2,017,008","78,912","77,510","35,124,494",,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson County,,
Yancey County Schools,3705070,"82,780","475,869","63,590","131,428","1,213,008","27,953","581,374","88,194",10,"798,180",22,"183,695","574,604","522,911",0,0,0,"-11,831",0,0,99,"7,161,706",7,"738,850","939,806","1,560,000",142,"1,048,386","38,079","33,219","16,251,802",,,,,,,,,,,,,,,,,,,,,,,,,,,Yadkin County,,